date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:47:47	65772/65772	---M--	200	added ('OK')	application/font-woff	etag:%2258b845a7-100ec%22	https://unsimpleworld.com/assets/fonts/RalewayThin/RalewayThin.woff	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/assets/fonts/RalewayThin/RalewayThin.woff	(from https://unsimpleworld.com/assets/css/style.css)
03:47:48	36593/36593	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Jun%202021%2006:47:48%20GMT	https://unsimpleworld.com/ru/portfolio/others/	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/ru/portfolio/others/index.html	(from https://unsimpleworld.com/ru/)
03:47:48	20048/20048	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Jun%202021%2006:47:48%20GMT	https://unsimpleworld.com/ru/portfolio/perfect-world-online/	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/ru/portfolio/perfect-world-online/index.html	(from https://unsimpleworld.com/ru/)
03:47:48	33113/33113	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Jun%202021%2006:47:48%20GMT	https://unsimpleworld.com/ru/portfolio/world-of-warcraft/	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/ru/portfolio/world-of-warcraft/index.html	(from https://unsimpleworld.com/ru/)
03:47:48	15497/15497	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Jun%202021%2006:47:49%20GMT	https://unsimpleworld.com/ru/portfolio/rising-force-online/	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/ru/portfolio/rising-force-online/index.html	(from https://unsimpleworld.com/ru/)
03:47:49	175316/175316	---M--	200	added ('OK')	application/x-font-ttf	etag:%2258b845a7-2acd4%22	https://unsimpleworld.com/assets/fonts/RalewayThin/RalewayThin.ttf	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/assets/fonts/RalewayThin/RalewayThin.ttf	(from https://unsimpleworld.com/assets/css/style.css)
03:47:49	175596/175596	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2258b845a7-2adec%22	https://unsimpleworld.com/assets/fonts/RalewayThin/RalewayThin.eot?	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/assets/fonts/RalewayThin/RalewayThind41d.eot	(from https://unsimpleworld.com/assets/css/style.css)
03:47:49	69676/69676	---M--	200	added ('OK')	application/font-woff	etag:%2258b845a7-1102c%22	https://unsimpleworld.com/assets/fonts/RalewayLight/RalewayLight.woff	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/assets/fonts/RalewayLight/RalewayLight.woff	(from https://unsimpleworld.com/assets/css/style.css)
03:47:50	180964/180964	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2258b845a7-2c2e4%22	https://unsimpleworld.com/assets/fonts/RalewayLight/RalewayLight.eot	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/assets/fonts/RalewayLight/RalewayLight.eot	(from https://unsimpleworld.com/assets/css/style.css)
03:47:50	180680/180680	---M--	200	added ('OK')	application/x-font-ttf	etag:%2258b845a7-2c1c8%22	https://unsimpleworld.com/assets/fonts/RalewayLight/RalewayLight.ttf	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/assets/fonts/RalewayLight/RalewayLight.ttf	(from https://unsimpleworld.com/assets/css/style.css)
03:47:50	180964/180964	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2258b845a7-2c2e4%22	https://unsimpleworld.com/assets/fonts/RalewayLight/RalewayLight.eot?	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/assets/fonts/RalewayLight/RalewayLightd41d.eot	(from https://unsimpleworld.com/assets/css/style.css)
03:47:50	178264/178264	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2258b845a7-2b858%22	https://unsimpleworld.com/assets/fonts/RalewaySemiBold/RalewaySemiBold.eot	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/assets/fonts/RalewaySemiBold/RalewaySemiBold.eot	(from https://unsimpleworld.com/assets/css/style.css)
03:47:51	69876/69876	---M--	200	added ('OK')	application/font-woff	etag:%2258b845a7-110f4%22	https://unsimpleworld.com/assets/fonts/RalewaySemiBold/RalewaySemiBold.woff	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/assets/fonts/RalewaySemiBold/RalewaySemiBold.woff	(from https://unsimpleworld.com/assets/css/style.css)
03:47:51	177968/177968	---M--	200	added ('OK')	application/x-font-ttf	etag:%2258b845a7-2b730%22	https://unsimpleworld.com/assets/fonts/RalewaySemiBold/RalewaySemiBold.ttf	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/assets/fonts/RalewaySemiBold/RalewaySemiBold.ttf	(from https://unsimpleworld.com/assets/css/style.css)
03:47:52	178264/178264	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2258b845a7-2b858%22	https://unsimpleworld.com/assets/fonts/RalewaySemiBold/RalewaySemiBold.eot?	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/assets/fonts/RalewaySemiBold/RalewaySemiBoldd41d.eot	(from https://unsimpleworld.com/assets/css/style.css)
03:47:52	67868/67868	---M--	200	added ('OK')	application/font-woff	etag:%2258b845a7-1091c%22	https://unsimpleworld.com/assets/fonts/RalewayBlack/RalewayBlack.woff	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/assets/fonts/RalewayBlack/RalewayBlack.woff	(from https://unsimpleworld.com/assets/css/style.css)
03:47:52	177664/177664	---M--	200	added ('OK')	application/x-font-ttf	etag:%2258b845a7-2b600%22	https://unsimpleworld.com/assets/fonts/RalewayBlack/RalewayBlack.ttf	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/assets/fonts/RalewayBlack/RalewayBlack.ttf	(from https://unsimpleworld.com/assets/css/style.css)
03:47:53	8848/8848	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2258b845a7-2290%22	https://unsimpleworld.com/assets/fonts/unsimple-font/unsimple-font.eot	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/assets/fonts/unsimple-font/unsimple-font.eot	(from https://unsimpleworld.com/assets/css/style.css)
03:47:53	177948/177948	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2258b845a7-2b71c%22	https://unsimpleworld.com/assets/fonts/RalewayBlack/RalewayBlack.eot	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/assets/fonts/RalewayBlack/RalewayBlack.eot	(from https://unsimpleworld.com/assets/css/style.css)
03:47:53	177948/177948	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2258b845a7-2b71c%22	https://unsimpleworld.com/assets/fonts/RalewayBlack/RalewayBlack.eot?	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/assets/fonts/RalewayBlack/RalewayBlackd41d.eot	(from https://unsimpleworld.com/assets/css/style.css)
03:47:53	4556/4556	---M--	200	added ('OK')	application/font-woff2	etag:%2258b845a7-11cc%22	https://unsimpleworld.com/assets/fonts/unsimple-font/unsimple-font.woff2	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/assets/fonts/unsimple-font/unsimple-font.woff2	(from https://unsimpleworld.com/assets/css/style.css)
03:47:53	5392/5392	---M--	200	added ('OK')	application/font-woff	etag:%2258b845a7-1510%22	https://unsimpleworld.com/assets/fonts/unsimple-font/unsimple-font.woff	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/assets/fonts/unsimple-font/unsimple-font.woff	(from https://unsimpleworld.com/assets/css/style.css)
03:47:54	8660/8660	---M--	200	added ('OK')	application/x-font-ttf	etag:%2258b845a7-21d4%22	https://unsimpleworld.com/assets/fonts/unsimple-font/unsimple-font.ttf	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/assets/fonts/unsimple-font/unsimple-font.ttf	(from https://unsimpleworld.com/assets/css/style.css)
03:47:54	5923/5923	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2258b845a7-1723%22	https://unsimpleworld.com/assets/fonts/unsimple-font/unsimple-font.svg	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/assets/fonts/unsimple-font/unsimple-font.svg	(from https://unsimpleworld.com/assets/css/style.css)
03:47:54	21358/21358	---MCZ	200	added ('OK')	text/css	etag:W/%225b826733-536e%22	https://unsimpleworld.com/assets/css/inner.css	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/assets/css/inner.css	(from https://unsimpleworld.com/portfolio/)
03:47:55	78685/78685	---M--	200	added ('OK')	image/jpeg	etag:%22602ae47f-1335d%22	https://unsimpleworld.com/portfolio/la2era-website-lineage-2/La2Era-lineage-2-thumb-big.jpg	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/portfolio/la2era-website-lineage-2/La2Era-lineage-2-thumb-big.jpg	(from https://unsimpleworld.com/portfolio/)
03:47:55	12381/12381	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Jun%202021%2006:47:56%20GMT	https://unsimpleworld.com/portfolio/la2era-website-lineage-2/	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/portfolio/la2era-website-lineage-2/index.html	(from https://unsimpleworld.com/portfolio/)
03:47:55	84570/84570	---M--	200	added ('OK')	image/jpeg	etag:%22602ae444-14a5a%22	https://unsimpleworld.com/portfolio/warnas-website-world-of-warcraft/Warnas-world-of-warcraft-thumb-mini.jpg	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/portfolio/warnas-website-world-of-warcraft/Warnas-world-of-warcraft-thumb-mini.jpg	(from https://unsimpleworld.com/portfolio/)
03:47:56	12173/12173	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Jun%202021%2006:47:56%20GMT	https://unsimpleworld.com/portfolio/wincase-website-design-open-case/	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/portfolio/wincase-website-design-open-case/index.html	(from https://unsimpleworld.com/portfolio/)
03:47:56	69272/69272	---M--	200	added ('OK')	image/jpeg	etag:%22602ae41e-10e98%22	https://unsimpleworld.com/portfolio/innadril-improved-landing-page-lineage-2/Innadril.Improved-lineage-2-thumb-mini.jpg	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/portfolio/innadril-improved-landing-page-lineage-2/Innadril.Improved-lineage-2-thumb-mini.jpg	(from https://unsimpleworld.com/portfolio/)
03:47:56	12802/12802	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Jun%202021%2006:47:56%20GMT	https://unsimpleworld.com/portfolio/warnas-website-world-of-warcraft/	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/portfolio/warnas-website-world-of-warcraft/index.html	(from https://unsimpleworld.com/portfolio/)
03:47:56	12558/12558	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Jun%202021%2006:47:57%20GMT	https://unsimpleworld.com/portfolio/innadril-improved-landing-page-lineage-2/	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/portfolio/innadril-improved-landing-page-lineage-2/index.html	(from https://unsimpleworld.com/portfolio/)
03:47:57	96014/96014	---M--	200	added ('OK')	image/jpeg	etag:%22602ae3f9-1770e%22	https://unsimpleworld.com/portfolio/innadril-website-design-lineage-2/Innadril-lineage-2-thumb-mini.jpg	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/portfolio/innadril-website-design-lineage-2/Innadril-lineage-2-thumb-mini.jpg	(from https://unsimpleworld.com/portfolio/)
03:47:57	5019/5019	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22602d9155-139b%22	https://unsimpleworld.com/assets/js/inner.js	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/assets/js/inner.js	(from https://unsimpleworld.com/portfolio/)
03:47:57	13220/13220	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Jun%202021%2006:47:57%20GMT	https://unsimpleworld.com/portfolio/innadril-website-design-lineage-2/	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/portfolio/innadril-website-design-lineage-2/index.html	(from https://unsimpleworld.com/portfolio/)
03:47:57	76178/76178	---M--	200	added ('OK')	image/jpeg	etag:%22602ae480-12992%22	https://unsimpleworld.com/portfolio/la2era-website-lineage-2/La2Era-lineage-2-thumb-mini.jpg	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/portfolio/la2era-website-lineage-2/La2Era-lineage-2-thumb-mini.jpg	(from https://unsimpleworld.com/portfolio/lineage-2/)
03:47:58	79762/79762	---M--	200	added ('OK')	image/jpeg	etag:%22602ae34c-13792%22	https://unsimpleworld.com/portfolio/l2black-website-lineage-2/L2Black-lineage-2-thumb-mini.jpg	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/portfolio/l2black-website-lineage-2/L2Black-lineage-2-thumb-mini.jpg	(from https://unsimpleworld.com/portfolio/lineage-2/)
03:47:58	71067/71067	---M--	200	added ('OK')	image/jpeg	etag:%22602ae29a-1159b%22	https://unsimpleworld.com/portfolio/l2etina-website-design-lineage-2/L2Etina-lineage-2-thumb-mini.jpg	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/portfolio/l2etina-website-design-lineage-2/L2Etina-lineage-2-thumb-mini.jpg	(from https://unsimpleworld.com/portfolio/lineage-2/)
03:47:58	13101/13101	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Jun%202021%2006:47:58%20GMT	https://unsimpleworld.com/portfolio/l2black-website-lineage-2/	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/portfolio/l2black-website-lineage-2/index.html	(from https://unsimpleworld.com/portfolio/lineage-2/)
03:47:58	68009/68009	---M--	200	added ('OK')	image/jpeg	etag:%22602ae252-109a9%22	https://unsimpleworld.com/portfolio/queen-world-website-lineage-2/Queen-World-lineage-2-thumb-mini.jpg	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/portfolio/queen-world-website-lineage-2/Queen-World-lineage-2-thumb-mini.jpg	(from https://unsimpleworld.com/portfolio/lineage-2/)
03:47:59	12472/12472	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Jun%202021%2006:47:59%20GMT	https://unsimpleworld.com/portfolio/l2etina-website-design-lineage-2/	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/portfolio/l2etina-website-design-lineage-2/index.html	(from https://unsimpleworld.com/portfolio/lineage-2/)
03:47:59	43013/43013	---M--	200	added ('OK')	image/jpeg	etag:%22602ae1d1-a805%22	https://unsimpleworld.com/portfolio/multiworld-website-design-lineage-2/MultiWorld-lineage-2-thumb-mini.jpg	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/portfolio/multiworld-website-design-lineage-2/MultiWorld-lineage-2-thumb-mini.jpg	(from https://unsimpleworld.com/portfolio/lineage-2/)
